Titre,Forme,Dimension_mm,Finition,Prix_EUR,Commentaire,opt_ajourage+lumineux
Enseigne drapeau,carré,400 x 400,prélaqué,132.00,,False
Enseigne drapeau,carré,400 x 400,laqué,149.00,,False
Enseigne drapeau,carré,500 x 500,prélaqué,161.00,,False
Enseigne drapeau,carré,500 x 500,laqué,187.00,,False
Enseigne drapeau,carré,600 x 600,prélaqué,195.00,,False
Enseigne drapeau,carré,600 x 600,laqué,231.00,,False
Enseigne drapeau,rond,Ø400,laqué,359.00,,False
Enseigne drapeau,rond,Ø400,laqué,504.00,,Vrai
Enseigne drapeau,rond,Ø500,laqué,397.00,,False
Enseigne drapeau,rond,Ø500,laqué,593.00,,Vrai
Enseigne drapeau,rond,Ø600,laqué,420.00,,False
Enseigne drapeau,rond,Ø600,laqué,725.00,,Vrai
Enseigne drapeau,carré,400 x 400,laqué,295.00,,Vrai
Enseigne drapeau,carré,500 x 500,laqué,383.00,,Vrai
Enseigne drapeau,carré,600 x 600,laqué,485.00,,Vrai
Enseigne drapeau,carré,400 x 400,double face PMMA lumineux,365.00,,False
Enseigne drapeau,carré,500 x 500,double face PMMA lumineux,390.00,,False
Enseigne drapeau,carré,600 x 600,double face PMMA lumineux,410.00,,False
Enseigne drapeau,rond,Ø400,double face PMMA lumineux,415.00,,False
Enseigne drapeau,rond,Ø500,double face PMMA lumineux,440.00,,False
Enseigne drapeau,rond,Ø600,double face PMMA lumineux,460.00,,False





