Titre,Hauteur_mm,PrixBrut_EUR,PrixBrut_30_10_EUR,PrixLaque_EUR,PrixLaque_30_10_EUR,SupFixation_EUR,Commentaire
Lettre alu 20/10 ou type Dibond 3 mm,100,12.00,18.26,20.00,30.43,3.00,
Lettre alu 20/10 ou type Dibond 3 mm,150,13.00,19.78,22.00,33.47,5.00,
Lettre alu 20/10 ou type Dibond 3 mm,200,15.00,22.82,25.00,38.04,6.00,
Lettre alu 20/10 ou type Dibond 3 mm,250,16.00,24.34,26.00,39.56,8.00,
Lettre alu 20/10 ou type Dibond 3 mm,300,18.50,28.15,30.00,45.64,10.00,
Lettre alu 20/10 ou type Dibond 3 mm,350,21.00,31.95,34.00,51.73,11.50,
Lettre alu 20/10 ou type Dibond 3 mm,400,26.00,39.56,40.00,60.86,13.00,
Lettre alu 20/10 ou type Dibond 3 mm,450,31.00,47.17,47.00,71.51,15.00,
Lettre alu 20/10 ou type Dibond 3 mm,500,36.00,54.77,54.00,82.16,17.00,
Lettre alu 20/10 ou type Dibond 3 mm,600,49.00,74.55,72.00,109.55,18.00,
Lettre alu 20/10 ou type Dibond 3 mm,700,64.00,97.38,92.00,139.98,23.00,
Lettre alu 20/10 ou type Dibond 3 mm,800,81.00,123.24,116.00,176.49,27.00,
Lettre alu 20/10 ou type Dibond 3 mm,900,101.00,153.67,143.00,217.57,30.00,
Lettre alu 20/10 ou type Dibond 3 mm,1000,122.00,185.62,172.00,261.70,34.00,
Lettre alu 20/10 ou type Dibond 3 mm,1100,144.00,219.09,202.00,307.34,37.00,
Lettre alu 20/10 ou type Dibond 3 mm,1200,165.00,251.05,231.00,351.46,40.00,
Lettre alu 20/10 ou type Dibond 3 mm,1300,186.00,283.00,261.00,397.11,44.00,
Lettre alu 20/10 ou type Dibond 3 mm,1400,208.00,316.47,290.00,441.23,47.00,
Lettre alu 20/10 ou type Dibond 3 mm,1500,229.00,348.42,320.00,486.88,51.00,
